speed,machine,status,suport,default,output,ontrack,delay,call,day,month,runningtime,campaign,pdays,previous,packmat,deposit
59,XT14,Running,secondary,no,2343,yes,no,MTC,5,may,1042,1,-1,0,ontime,yes
56,XT14,Running,secondary,no,45,no,no,MTC,5,may,1467,1,-1,0,ontime,yes
41,TOM16,Running,secondary,no,1270,yes,no,MTC,5,may,1389,1,-1,0,ontime,yes
55,XT10,Running,secondary,no,2476,yes,no,MTC,5,may,579,1,-1,0,ontime,yes
54,XT14,Running,tertiary,no,184,no,no,MTC,5,may,673,2,-1,0,ontime,yes
42,CJM,Idle,tertiary,no,0,yes,yes,MTC,5,may,562,2,-1,0,ontime,yes
56,CJM,Running,tertiary,no,830,yes,yes,MTC,6,may,1201,1,-1,0,ontime,yes
60,CEIC,Downtime,secondary,no,545,yes,no,MTC,6,may,1030,1,-1,0,ontime,yes
37,TOM16,Running,secondary,no,1,yes,no,MTC,6,may,608,1,-1,0,ontime,yes
28,XT10,Idle,secondary,no,5090,yes,no,MTC,6,may,1297,3,-1,0,ontime,yes
38,XT14,Idle,secondary,no,100,yes,no,MTC,7,may,786,1,-1,0,ontime,yes
30,XT4,Running,secondary,no,309,yes,no,MTC,7,may,1574,2,-1,0,ontime,yes
29,CJM,Running,tertiary,no,199,yes,yes,MTC,7,may,1689,4,-1,0,ontime,yes
46,XT4,Idle,tertiary,no,460,yes,no,MTC,7,may,1102,2,-1,0,ontime,yes
31,TOM16,Idle,tertiary,no,703,yes,no,MTC,8,may,943,2,-1,0,ontime,yes
35,CJM,Downtime,tertiary,no,3837,yes,no,MTC,8,may,1084,1,-1,0,ontime,yes
32,XT4,Idle,primary,no,611,yes,no,MTC,8,may,541,3,-1,0,ontime,yes
49,XT10,Running,secondary,no,8,yes,no,MTC,8,may,1119,1,-1,0,ontime,yes
41,XT14,Running,secondary,no,55,yes,no,MTC,8,may,1120,2,-1,0,ontime,yes
49,XT14,Downtime,secondary,no,168,yes,yes,MTC,8,may,513,1,-1,0,ontime,yes
28,XT14,Downtime,secondary,no,785,yes,no,MTC,8,may,442,2,-1,0,ontime,yes
43,CJM,Idle,tertiary,no,2067,yes,no,MTC,8,may,756,1,-1,0,ontime,yes
43,CJM,Downtime,tertiary,no,388,yes,no,MTC,8,may,2087,2,-1,0,ontime,yes
43,XT4,Running,primary,no,192,yes,no,MTC,8,may,1120,2,-1,0,ontime,yes
37,CJM,Idle,secondary,no,381,yes,no,MTC,8,may,985,2,-1,0,ontime,yes
35,XT4,Idle,secondary,no,40,yes,no,MTC,9,may,617,4,-1,0,ontime,yes
31,TOM16,Idle,tertiary,no,22,yes,no,MTC,9,may,483,3,-1,0,ontime,yes
43,XT4,Idle,secondary,no,3,yes,no,MTC,9,may,929,3,-1,0,ontime,yes
31,XT14,Running,secondary,no,307,yes,no,MTC,9,may,538,1,-1,0,ontime,yes
28,XT4,Idle,secondary,no,759,yes,no,MTC,9,may,710,1,-1,0,ontime,yes
32,XT4,Running,secondary,yes,1,yes,no,MTC,9,may,653,1,-1,0,ontime,yes
60,TOM16,Running,primary,no,65,yes,no,MTC,9,may,1028,2,-1,0,ontime,yes
26,XT4,Idle,secondary,no,82,yes,no,MTC,9,may,654,1,-1,0,ontime,yes
40,XT4,Running,secondary,no,10,yes,no,MTC,9,may,1692,2,-1,0,ontime,yes
33,XT4,Downtime,primary,no,390,yes,no,MTC,9,may,665,2,-1,0,ontime,yes
32,CJM,Idle,tertiary,no,311,no,no,MTC,12,may,757,2,-1,0,ontime,yes
35,XT4,Running,primary,no,414,no,no,MTC,13,may,504,4,-1,0,ontime,yes
33,CJM,Downtime,secondary,no,5,yes,no,MTC,13,may,1346,1,-1,0,ontime,yes
38,CJM,Running,tertiary,no,119,yes,no,MTC,13,may,568,4,-1,0,ontime,yes
23,Saidone,Idle,primary,no,4,yes,no,MTC,13,may,395,2,-1,0,ontime,yes
60,XT4,Running,primary,no,1262,yes,yes,MTC,13,may,1015,1,-1,0,ontime,yes
48,CJM,Running,tertiary,no,1949,yes,no,MTC,13,may,683,2,-1,0,ontime,yes
45,Saidone,Downtime,tertiary,no,395,yes,no,MTC,13,may,470,1,-1,0,ontime,yes
36,XT4,Running,secondary,no,1165,yes,no,MTC,13,may,1001,4,-1,0,ontime,yes
52,CJM,Running,JYS,no,2240,yes,no,MTC,13,may,845,1,-1,0,ontime,yes
35,XT4,Downtime,primary,no,300,yes,no,MTC,13,may,945,2,-1,0,ontime,yes
43,TOM16,Running,secondary,no,3285,yes,no,MTC,13,may,1721,2,-1,0,ontime,yes
52,Saidone,Running,secondary,no,3923,yes,no,MTC,14,may,942,3,-1,0,ontime,yes
53,TOM16,Downtime,primary,no,1443,yes,no,MTC,14,may,476,1,-1,0,ontime,yes
48,XT4,Downtime,primary,no,24,yes,no,MTC,14,may,832,1,-1,0,ontime,yes
41,XT4,Idle,primary,no,1618,yes,no,MTC,14,may,1553,1,-1,0,ontime,yes
39,CJM,Downtime,tertiary,no,517,yes,yes,MTC,14,may,1328,1,-1,0,ontime,yes
59,CEIC,Running,secondary,no,1521,yes,yes,MTC,14,may,1125,2,-1,0,ontime,yes
41,XT4,Running,secondary,no,2823,yes,no,MTC,14,may,858,1,-1,0,ontime,yes
48,XT4,Running,secondary,no,1405,yes,no,MTC,14,may,629,2,-1,0,ontime,yes
40,XT14,Running,secondary,no,1535,yes,no,MTC,14,may,704,1,-1,0,ontime,yes
48,XT4,Running,secondary,no,1596,yes,no,MTC,14,may,760,1,-1,0,ontime,yes
60,CEIC,Running,primary,no,1542,yes,no,MTC,14,may,930,1,-1,0,ontime,yes
40,TOM16,Idle,JYS,no,3652,yes,no,MTC,14,may,1028,2,-1,0,ontime,yes
57,TOM16,Running,tertiary,no,1,no,no,MTC,14,may,850,2,-1,0,ontime,yes
51,XT4,Running,secondary,no,7180,yes,no,MTC,14,may,927,1,-1,0,ontime,yes
41,XT4,Downtime,secondary,no,5291,yes,no,MTC,14,may,1423,3,-1,0,ontime,yes
41,XT4,Running,secondary,no,1384,yes,no,MTC,15,may,1162,4,-1,0,ontime,yes
52,XT4,Downtime,primary,no,191,yes,no,MTC,15,may,755,1,-1,0,ontime,yes
59,XT4,Running,primary,no,320,yes,no,MTC,15,may,695,1,-1,0,ontime,yes
44,XT4,Running,JYS,no,146,yes,no,MTC,15,may,483,1,-1,0,ontime,yes
49,JYS,Running,primary,no,341,yes,yes,MTC,15,may,520,2,-1,0,ontime,yes
40,XT10,Running,primary,no,9,yes,no,MTC,15,may,920,2,-1,0,ontime,yes
41,XT14,Running,primary,no,306,yes,no,MTC,15,may,500,1,-1,0,ontime,yes
44,TOM16,Running,tertiary,no,4580,yes,no,MTC,15,may,911,2,-1,0,ontime,yes
60,XT10,Idle,primary,no,313,yes,no,MTC,15,may,920,2,-1,0,ontime,yes
29,CJM,Running,tertiary,no,10576,no,no,MTC,15,may,1224,2,-1,0,ontime,yes
41,CEIC,Downtime,primary,no,233,yes,no,MTC,15,may,1156,2,-1,0,ontime,yes
41,XT4,Running,primary,no,2453,yes,no,MTC,15,may,1052,1,-1,0,ontime,yes
42,TOM16,Idle,secondary,no,1364,yes,no,MTC,15,may,1867,6,-1,0,ontime,yes
36,XT10,Idle,JYS,no,281,yes,no,MTC,16,may,515,1,-1,0,ontime,yes
39,TOM16,Running,tertiary,no,94,yes,yes,MTC,16,may,813,1,-1,0,ontime,yes
31,Saidone,Idle,tertiary,no,144,yes,no,MTC,16,may,676,1,-1,0,ontime,yes
26,XT4,Running,secondary,no,246,yes,no,MTC,16,may,1143,3,-1,0,ontime,yes
31,XT4,Running,secondary,no,92,yes,no,MTC,16,may,688,1,-1,0,ontime,yes
29,XT14,Idle,secondary,no,163,yes,yes,MTC,16,may,803,1,-1,0,ontime,yes
37,XT10,Downtime,secondary,no,49,yes,no,MTC,16,may,619,2,-1,0,ontime,yes
33,XT4,Idle,secondary,no,416,yes,no,MTC,16,may,767,2,-1,0,ontime,yes
24,TOM16,Idle,secondary,no,409,yes,no,MTC,16,may,912,1,-1,0,ontime,yes
50,XT14,Downtime,secondary,no,363,yes,no,MTC,16,may,1340,1,-1,0,ontime,yes
27,TOM16,Idle,tertiary,no,3706,yes,no,MTC,16,may,897,1,-1,0,ontime,yes
54,CJM,Idle,tertiary,no,4393,yes,no,MTC,16,may,1297,3,-1,0,ontime,yes
30,TOM16,Idle,secondary,no,863,yes,no,MTC,16,may,1193,5,-1,0,ontime,yes
34,XT4,Running,primary,no,695,yes,yes,MTC,16,may,1064,4,-1,0,ontime,yes
37,CJM,Idle,secondary,no,792,yes,no,MTC,16,may,1187,4,-1,0,ontime,yes
41,XT14,Idle,secondary,no,1020,yes,no,MTC,19,may,882,1,-1,0,ontime,yes
47,XT4,Running,secondary,no,863,yes,no,MTC,19,may,943,2,-1,0,ontime,yes
31,XT14,Running,secondary,no,97,yes,no,MTC,19,may,607,1,-1,0,ontime,yes
31,XT4,Running,secondary,no,754,yes,no,MTC,19,may,1022,4,-1,0,ontime,yes
43,XT10,Downtime,secondary,no,1040,yes,no,MTC,19,may,552,3,-1,0,ontime,yes
37,CJM,Downtime,tertiary,no,122,yes,no,MTC,19,may,1622,2,-1,0,ontime,yes
30,TOM16,Idle,tertiary,no,880,yes,yes,MTC,19,may,967,6,-1,0,ontime,yes
41,TOM16,Running,secondary,no,501,yes,no,MTC,19,may,579,5,-1,0,ontime,yes
36,XT4,Running,secondary,no,4438,yes,no,MTC,20,may,446,1,-1,0,ontime,yes
35,XT4,Downtime,secondary,no,0,yes,no,MTC,20,may,1205,1,-1,0,ontime,yes
29,XT10,Idle,secondary,no,271,yes,no,MTC,20,may,1882,2,-1,0,ontime,yes
35,XT4,Running,primary,no,102,yes,no,MTC,20,may,1334,1,-1,0,ontime,yes
31,XT4,Running,secondary,no,2,yes,no,MTC,20,may,182,2,-1,0,ontime,yes
35,XT10,Running,secondary,no,4170,yes,no,MTC,20,may,1777,1,-1,0,ontime,yes
34,TOM16,Idle,secondary,no,85,yes,no,MTC,20,may,1182,4,-1,0,ontime,yes
31,XT14,Idle,secondary,no,431,yes,yes,MTC,20,may,1045,1,-1,0,ontime,yes
44,TOM16,Downtime,secondary,no,982,yes,no,MTC,20,may,650,3,-1,0,ontime,yes
36,XT4,Running,primary,no,408,yes,yes,MTC,20,may,1063,2,-1,0,ontime,yes
35,XT4,Running,JYS,no,4822,yes,no,MTC,20,may,843,2,-1,0,ontime,yes
41,XT4,Running,primary,no,1250,yes,no,MTC,20,may,1392,2,-1,0,ontime,yes
31,XT4,Idle,primary,no,216,yes,no,MTC,21,may,565,1,-1,0,ontime,yes
34,XT4,Running,secondary,no,1207,yes,no,MTC,21,may,905,1,-1,0,ontime,yes
32,TOM16,Running,secondary,no,791,yes,no,MTC,21,may,783,2,-1,0,ontime,yes
36,CJM,Running,tertiary,no,849,yes,yes,MTC,21,may,958,2,-1,0,ontime,yes
30,XT4,Idle,secondary,yes,239,yes,no,MTC,21,may,412,1,-1,0,ontime,yes
37,TOM16,Idle,secondary,no,1211,yes,no,MTC,21,may,795,1,-1,0,ontime,yes
36,XT4,Running,primary,no,599,yes,no,MTC,21,may,649,2,-1,0,ontime,yes
31,CJM,Idle,tertiary,no,825,yes,no,MTC,21,may,506,2,-1,0,ontime,yes
27,TOM16,Running,secondary,no,2183,yes,yes,MTC,21,may,857,1,-1,0,ontime,yes
34,CEIC,Running,primary,no,4499,no,no,MTC,21,may,1681,1,-1,0,ontime,yes
30,TOM16,Idle,tertiary,no,1289,yes,no,MTC,21,may,1697,2,-1,0,ontime,yes
